ID,横mm,縦mm
YM1,12,12
YM2,20,20
YM3,40,12
YM4,25,25
YM5,30,20
YM6,40,20
YM7,30,25
YM8,30,30
YM9,50,20
YM10,58,15
YM11,40,30
YM12,40,40
YM13,50,30
YM14,58,25
YM15,60,30
YM16,55,40
YM17,58,58
